epoch,accuracy,loss,val_accuracy,val_loss
0,0.4335714280605316,1.3663631677627563,0.5057142972946167,1.0811687707901
1,0.5178571343421936,1.0566757917404175,0.5385714173316956,1.022315502166748
2,0.5489285588264465,0.9962829351425171,0.550000011920929,0.9775592088699341
3,0.5807142853736877,0.9566754102706909,0.5442857146263123,0.9901450276374817
4,0.5928571224212646,0.9334940910339355,0.5742856860160828,0.9590148329734802
5,0.616428554058075,0.88677579164505,0.6057142615318298,0.8906867504119873
6,0.6507142782211304,0.8443368673324585,0.6271428465843201,0.8745433688163757
7,0.6600000262260437,0.8100301027297974,0.6299999952316284,0.8808179497718811
8,0.6560714244842529,0.8016302585601807,0.6399999856948853,0.8892155289649963
9,0.681071400642395,0.7631755471229553,0.6657142639160156,0.8675107359886169
10,0.6875,0.7950614094734192,0.6757143139839172,0.8149086236953735
11,0.7089285850524902,0.7232402563095093,0.6785714030265808,0.8211905360221863
12,0.7164285778999329,0.6952516436576843,0.6928571462631226,0.7813863754272461
13,0.7232142686843872,0.6575407385826111,0.6800000071525574,0.8182643055915833
14,0.7367857098579407,0.6520207524299622,0.691428542137146,0.761677086353302
15,0.7528571486473083,0.6163895726203918,0.7357142567634583,0.7048907279968262
16,0.7542856931686401,0.612540602684021,0.7114285826683044,0.7528244256973267
17,0.7549999952316284,0.5931930541992188,0.7228571176528931,0.6876007318496704
18,0.7403571605682373,0.6431841254234314,0.7357142567634583,0.676886796951294
19,0.770714282989502,0.57105952501297,0.727142870426178,0.7088462710380554
20,0.7660714387893677,0.5707200169563293,0.7385714054107666,0.6821383833885193
21,0.7857142686843872,0.536370575428009,0.741428554058075,0.6412514448165894
22,0.779285728931427,0.5215404033660889,0.7157142758369446,0.7197059988975525
23,0.7774999737739563,0.5223850607872009,0.7385714054107666,0.6184742450714111
24,0.7796428799629211,0.5210554003715515,0.7614285945892334,0.6081582903862
